date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:36	89193/89193	---M--	200	added ('OK')	image/jpeg	etag:W/%2215c69-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/gallery/project-3.jpg	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/gallery/project-3.jpg	(from http://pushkarmaurya.herokuapp.com/)
11:15:38	85630/85630	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256cb5d7c-14e7e%22	https://code.jquery.com/jquery-2.2.1.min.js	C:/My%20Web%20Sites/p/code.jquery.com/jquery-2.2.1.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:42	19239/19239	---M--	200	added ('OK')	application/javascript	etag:W/%224b27-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/js/popper.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/js/popper.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:45	14985/14985	---M--	200	added ('OK')	application/javascript	etag:W/%223a89-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/js/stellar.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/js/stellar.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:47	5527/5527	---M--	200	added ('OK')	application/javascript	etag:W/%221597-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/lightbox/simpleLightbox.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/lightbox/simpleLightbox.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:48	2942/2942	---M--	200	added ('OK')	application/javascript	etag:W/%22b7e-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/nice-select/js/jquery.nice-select.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/nice-select/js/jquery.nice-select.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:49	5594/5594	---M--	200	added ('OK')	application/javascript	etag:W/%2215da-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/isotope/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/isotope/imagesloaded.pkgd.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:49	86927/86927	---M--	200	added ('OK')	application/javascript	etag:W/%221538f-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/js/jquery-3.3.1.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:55	35445/35445	---M--	200	added ('OK')	application/javascript	etag:W/%228a75-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/isotope/isotope.pkgd.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/isotope/isotope.pkgd.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:57	42766/42766	---M--	200	added ('OK')	application/javascript	etag:W/%22a70e-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/owl-carousel/owl.carousel.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/owl-carousel/owl.carousel.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:58	4820/4820	---M--	200	added ('OK')	application/javascript	etag:W/%2212d4-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/js/jquery.ajaxchimp.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/js/jquery.ajaxchimp.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:15:59	20216/20216	---M--	200	added ('OK')	application/javascript	etag:W/%224ef8-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/popup/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/popup/jquery.magnific-popup.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:16:00	2182/2182	---M--	200	added ('OK')	application/javascript	etag:W/%22886-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/counter-up/jquery.counterup.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/counter-up/jquery.counterup.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:16:00	9028/9028	---M--	200	added ('OK')	application/javascript	etag:W/%222344-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/counter-up/jquery.waypoints.min.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/counter-up/jquery.waypoints.min.js	(from http://pushkarmaurya.herokuapp.com/)
11:16:01	1230/1230	---M--	200	added ('OK')	application/javascript	etag:W/%224ce-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/js/mail-script.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/js/mail-script.js	(from http://pushkarmaurya.herokuapp.com/)
11:16:03	13071/13071	---M--	200	added ('OK')	application/javascript	etag:W/%22330f-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/js/theme.js	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/js/theme.js	(from http://pushkarmaurya.herokuapp.com/)
11:16:10	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free.eot?w118d	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free54e9.eot	(from http://pushkarmaurya.herokuapp.com/vendors/linericon/style.css)
11:16:12	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22da0c-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free.eot?	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Freed41d.eot	(from http://pushkarmaurya.herokuapp.com/vendors/linericon/style.css)
11:16:14	21780/21780	---M--	200	added ('OK')	font/woff2	etag:W/%225514-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free.woff2?w118d	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free54e9.woff2	(from http://pushkarmaurya.herokuapp.com/vendors/linericon/style.css)
11:16:22	55696/55696	---M--	200	added ('OK')	font/woff	etag:W/%22d990-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free.woff?w118d	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free54e9.woff	(from http://pushkarmaurya.herokuapp.com/vendors/linericon/style.css)
11:16:23	55620/55620	---M--	200	added ('OK')	font/ttf	etag:W/%22d944-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free.ttf?w118d	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free54e9.ttf	(from http://pushkarmaurya.herokuapp.com/vendors/linericon/style.css)
11:16:34	205847/205847	---M--	200	added ('OK')	image/svg+xml	etag:W/%2232417-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free.svg?w118d	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/linericon/fonts/Linearicons-Free54e9.svg	(from http://pushkarmaurya.herokuapp.com/vendors/linericon/style.css)
11:16:42	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212ae6-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont3295.eot	(from http://pushkarmaurya.herokuapp.com/css/font-awesome.min.css)
11:16:47	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212ae6-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/fonts/fontawesome-webfontd41d.eot	(from http://pushkarmaurya.herokuapp.com/css/font-awesome.min.css)
11:16:54	71896/71896	---M--	200	added ('OK')	font/woff2	etag:W/%22118d8-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont3295.woff2	(from http://pushkarmaurya.herokuapp.com/css/font-awesome.min.css)
11:17:02	90412/90412	---M--	200	added ('OK')	font/woff	etag:W/%221612c-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont3295.woff	(from http://pushkarmaurya.herokuapp.com/css/font-awesome.min.css)
11:17:09	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:W/%225f9c6-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/fonts/fontawesome-webfont3295.svg	(from http://pushkarmaurya.herokuapp.com/css/font-awesome.min.css)
11:17:10	178/178	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jun%202021%2005:47:11%20GMT	http://pushkarmaurya.herokuapp.com/vendors/owl-carousel/owl.video.play.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/owl-carousel/owl.video.play.png	(from http://pushkarmaurya.herokuapp.com/vendors/owl-carousel/owl.carousel.min.css)
11:17:11	3910/3910	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22f46-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.eot	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.eot	(from http://pushkarmaurya.herokuapp.com/vendors/flaticon/flaticon.css)
11:17:12	913400/913400	---M--	200	added ('OK')	image/png	etag:W/%22deff8-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/gallery/h1.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/gallery/h1.png	(from http://pushkarmaurya.herokuapp.com/)
11:17:12	3910/3910	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22f46-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.eot?	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticond41d.eot	(from http://pushkarmaurya.herokuapp.com/vendors/flaticon/flaticon.css)
11:17:14	2176/2176	---M--	200	added ('OK')	font/woff	etag:W/%22880-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.woff	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.woff	(from http://pushkarmaurya.herokuapp.com/vendors/flaticon/flaticon.css)
11:17:14	3732/3732	---M--	200	added ('OK')	font/ttf	etag:W/%22e94-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.ttf	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/vendors/flaticon/Flaticon.ttf	(from http://pushkarmaurya.herokuapp.com/vendors/flaticon/flaticon.css)
